,COMPOUND_ID,PCT_IHB_3D7,pXC50_3D7,SMILES
155,539637,100.0,6.400580000000001,C=CCN(c1nc(cs1)c2ccccc2)C(=O)c3ccc(c(c3)N(=O)=O)Cl
156,539679,100.0,6.12535,Cc1ccc(cc1Nc2ccnc3c2cc(cc3)c4cccc(c4)CNCCOC)O
157,539686,86.0,5.93467,CC(Cc1ccc(cc1)C(=O)OC)NCC(c2cccc(c2)OCc3ccccc3)O.Cl
158,539728,96.0,5.97824,COc1ccc(cc1)NCc2cccc(c2)c3cccc(c3)CNCCc4ccccc4.C(=O)(C(F)(F)F)O
159,539766,90.0,5.99413,CCOC(=O)N1CCN(CC1)CCCNc2c3ccccc3nc4c2cccc4.Cl
160,539767,96.0,7.96282,CC(c1ccccc1)ON2C(=NC(=NC2(C)C)N)N
161,541272,100.0,6.19265,c1cc(sc1)c2[nH]c3ccc(c(c3n2)CN4CCC(CC4)N5CCCC5)O.Cl
162,539847,85.0,6.26167,COC1CCC(CC1)C(=O)Nc2ccc(cc2)c3cccc(c3)c4[nH]c5ccc(cc5n4)C(F)(F)F
163,539882,97.0,6.13105,CN(CCc1ccc(c(c1)OC)OC)CCOc2ccc(cc2)NC(=O)c3cccc4c3[nH]c5ccc(cc5c4=O)SC
164,539884,98.0,6.068,c1cc(ccc1c2ccc(cc2)C(F)(F)F)C(=O)NCCCCN3CCC(CC3)c4ccc5c(c4OCCO)CCCC5.Cl
165,539501,85.0,6.04387,COc1ccc(cc1)Oc2ccccc2CNCC3CCN(CC3)CC4CCCCC4.C(=O)(C(F)(F)F)O
166,542249,100.0,6.059769999999999,CCN(CC)CCCNc1ccn(=O)c2c1cc3ccccc3c2
167,541164,99.0,6.12822,c1cc(cnc1)c2cc(c3cc(ccc3n2)Br)C(=O)Nc4ccon4
168,539576,97.0,6.11829,CCS(=O)(=O)O.c1cc(c(cc1NC(=O)NC(=N)N)N(=O)=O)Cl
169,539620,95.0,7.446960000000001,Cc1[nH]c(=O)c2c(n1)ccc3c2cc(cc3)CNc4ccc(cc4)C(=O)CC(CCC(=O)O)C(=O)O.[Na+].[Cl-]
170,539659,93.0,6.04531,Cc1c2c(n(n1)c3ccc(cc3)OC)NC(=O)CC2c4ccccc4OCc5ccccc5F
171,539703,84.0,5.9958,CCOCc1cnc(nc1CNC(=O)c2c([nH]c3c2cc(cc3)C)C)C
172,539704,100.0,6.113919999999999,CCN(CC)CCN(Cc1ccc(cc1)c2ccc(cc2)Cl)C(=O)Cn3c4ccccc4c(=O)nc3CCc5cccc(c5F)F.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
173,539706,91.0,6.86517,CN(CC1(CCN(CC1)CCc2ccc3c(c2)NC(=O)CS3)O)c4ccnc5c4nc(cc5)OC.Cl
174,539785,95.0,6.09768,c1ccc2c(c1)CSc3ccc(cc3C2OCCN4CCC(CC4)(c5ccc(c(c5)C(F)(F)F)Cl)O)Cl.C(=C\C(=O)O)\C(=O)O
175,541241,98.0,6.1219,CN1CCN(CC1)c2cc(ccc2OC)NC(=O)Nc3ccc(c(c3)Cl)c4ccncc4
176,539826,91.0,6.10654,Cc1ccc(cn1)C(=O)NCC2CCN(CC2)c3ccc(cc3NC(=O)c4ccco4)C(F)(F)F
177,539863,91.0,6.193919999999999,c1cc(c(cc1/C=C/C(=O)NCCCCCN2CCC(CC2)NC(=O)Nc3ccc(cc3Cl)Cl)Cl)Cl
178,539867,99.0,6.16507,c1ccc(cc1)c2ccc(s2)C(=O)NC3CCC(CC3)CCN4CCc5ccc(cc5CC4)C#N.Cl
179,539910,99.0,6.0086,c1cc(ccc1c2ccc(cc2)Cl)S(=O)(=O)Nc3cc4c(cc3O)CCNCC4.Cl
180,542852,99.0,6.17535,CS(=O)(=O)CCNCc1ccc(o1)c2ccc3c(ccnc3c2)Nc4ccc(cc4F)Cl
181,539980,91.0,6.19771,c1cc(ccc1C=CC(=O)N2CCN(CC2)S(=O)(=O)c3ccc(cc3)Cl)F
182,539981,100.0,7.016839999999999,Cc1c(snn1)C(=O)Nc2cccc(c2)c3ccc(cc3)c4[nH]c5ccc(cc5n4)F
183,539431,94.0,7.51288,COc1cc(cc(c1OC)OCCCCC2C(=O)NC(=O)S2)Cc3cnc(nc3N)N
184,539434,97.0,6.47999,Cc1cc(c(n1c2ccc(cc2)F)C)C(=O)OCC(=O)N
185,539436,99.0,6.993930000000001,Cc1ccc(c(c1)C)n2c(nc3c2ncnc3Nc4ccc(cc4)c5ccncc5)C
186,540077,91.0,6.033980000000001,CCCCOc1c2ccccc2c(cc1CCNCCCCNCCc3cc(c4ccccc4c3OCCCC)OC)OC.CS(=O)(=O)O
187,540082,100.0,6.13784,CCOc1c(ccc2c1CCN(C2)CCN3CCC(CC3)NC(=O)c4ccc(cc4)c5cccc(c5C(F)(F)F)C(F)(F)F)OC
